title,views,likes,comments,duration_seconds,published_date
"NƠI NÀY CÓ ANH | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP",418466693,2268204,317881,279,"2017-02-13 00:00:00"
"SƠN TÙNG M-TP | HÃY TRAO CHO ANH ft. Snoop Dogg | Official MV",300840521,4187294,1259472,263,"2019-07-01 00:00:00"
"LẠC TRÔI | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP",281153633,1877828,298562,273,"2016-12-31 00:00:00"
"Chúng Ta Không Thuộc Về Nhau | Official Music Video | Sơn Tùng M-TP",237742671,1276009,211044,243,"2016-08-02 00:00:00"
"SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | OFFICIAL MUSIC VIDEO",228229809,2644692,2031001,289,"2021-04-29 00:00:00"
"SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | OFFICIAL MUSIC VIDEO",185846744,3357026,994887,216,"2020-07-05 00:00:00"
"Âm Thầm Bên Em | OFFICIAL MUSIC VIDEO | Sơn Tùng M-TP",167945535,933055,98510,850,"2015-08-21 00:00:00"
"CHẠY NGAY ĐI | RUN NOW | SƠN TÙNG M-TP | Official Music Video",163107887,1818014,994940,274,"2018-05-11 00:00:00"
"Buông Đôi Tay Nhau Ra | OFFICIAL MUSIC VIDEO | Sơn Tùng M-TP",160831902,748964,74953,290,"2015-12-02 00:00:00"
"SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL MUSIC VIDEO",156275222,1401502,251126,326,"2024-06-08 00:00:00"
"SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | OFFICIAL MUSIC VIDEO",114316715,2284807,1128519,891,"2020-12-20 00:00:00"
"VIRAL CLIP - MỘT NĂM MỚI BÌNH AN | SƠN TÙNG M-TP",105254783,512280,38438,253,"2016-01-23 00:00:00"
"SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | OFFICIAL MUSIC VIDEO",84230772,915444,269993,277,"2024-03-07 00:00:00"
"Sơn Tùng M-TP - Chắc Ai Đó Sẽ Về",55852134,375436,31132,315,"2015-01-30 00:00:00"
"SON TUNG M-TP | MAKING MY WAY | OFFICIAL VISUALIZER",51145499,837145,115201,258,"2023-05-04 00:00:00"
